tanggal;Y;InflasiRt;InflasiMax;CHRt;CHMax
2015-01;24254;6,881666667;8,48;14,03699826;133,4
2015-02;22394;6,068333333;7,1;16,80821429;247
2015-03;26841;6,15;7,46;13,99450313;62,6
2015-04;26150;6,553333333;8,02;9,014597888;73,7
2015-05;27450;6,905;8,66;9,711416361;71
2015-06;27118;6,936666667;8,91;5,877457265;63,1
2015-07;27077;6,895;8,94;3,373500557;17
2015-08;27351;6,896666667;8,74;6,866666667;94,6
2015-09;27125;6,533333333;8,14;5,110782828;55
2015-10;28280;5,913333333;6,97;3,586111111;63,5
2015-11;27253;4,655;5,86;13,36398604;155,8
2015-12;29328;3,203333333;4,29;11,75225172;95,3
2016-01;27886;3,981666667;5,57;11,81132051;110,5
2016-02;26058;4,206666667;5,97;17,10498261;108
2016-03;28156;3,568333333;5,7;17,89917478;123
2016-04;28000;3,376666667;4,28;9,930815018;112,7
2016-05;30176;3,091666667;3,84;11,16627871;67,2
2016-06;28730;3,151666667;3,78;9,969966069;94,6
2016-07;28216;3,085;3,38;11,13199491;79
2016-08;29125;2,508333333;2,88;11,1906985;66,7
2016-09;29019;2,671666667;3,01;10,9396115;96,3
2016-10;29765;2,821666667;3,14;11,53508475;73,3
2016-11;29178;3,073333333;3,33;14,43990969;120,5
2016-12;31530;2,571666667;2,94;8,028149615;45,8
2017-01;30359;3,088333333;3,62;10,63031609;82,9
2017-02;26837;3,463333333;3,92;17,19439537;148,6
2017-03;31612;3,456666667;3,79;12,94573336;87
2017-04;30934;3,998333333;4,41;10,02024665;69
2017-05;33157;4,305;4,77;5,768125342;58
2017-06;30181;4,401666667;4,66;8,072124663;117,6
2017-07;33669;3,871666667;4,22;6,857873798;77,3
2017-08;33255;3,773333333;4,28;4,91703405;70
2017-09;31921;3,798333333;4,17;9,033712311;64
2017-10;34498;3,756666667;4,07;10,12383237;119
2017-11;33798;3,558333333;3,89;14,80962416;364,1
2017-12;36140;3,88;4,2;11,94602983;97,4
2018-01;34107;3,386666667;3,69;12,61979639;120,3
2018-02;30721;3,243333333;3,69;15,34672772;111,8
2018-03;35272;3,421666667;3,91;9,76841954;129,6
2018-04;35135;3,368333333;3,8;11,55283287;86,3
2018-05;34877;3,058333333;3,51;7,010994659;134,5
2018-06;32270;2,913333333;3,31;6,098586132;91,3
2018-07;36089;3,031666667;3,47;1,818031609;20,5
2018-08;34560;3,211666667;3,68;2,662716334;46
2018-09;33878;2,963333333;3,42;5,202671576;67
2018-10;35602;3,14;3,48;7,294329806;116
2018-11;34637;3,238333333;3,55;12,66862654;106,4
2018-12;37197;3,095;3,54;11,08471819;107,4
2019-01;34435;2,83;3,55;12,04182254;127,6
2019-02;31282;2,52;3,3;11,34105197;96,7
2019-03;35068;2,53;3,01;11,17964798;130,3
2019-04;35106;2,87;3,37;14,61036311;134,2
2019-05;34514;3,193333333;3,54;7,502383242;78,7
2019-06;34261;3,12;3,72;3,452171137;39,4
2019-07;38303;3,066666667;3,53;2,061401557;42,7
2019-08;34542;3,351666667;3,91;4,903010753;54,2
2019-09;34615;3,296666667;3,85;4,128194444;78,6
2019-10;35814;3,17;3,77;5,480299605;130,1
2019-11;35228;3,091666667;3,73;7,24200919;83,6
2019-12;36710;3,03;3,3;12,91182469;141
2020-01;33472;2,77;3,4;14,70965639;208,9
2020-02;31679;3,156666667;3,72;19,17423976;155,5
2020-03;22949;3,105;3,95;15,28651026;121,7
2020-04;5813;2,82;3,77;13,11940134;112
2020-05;5476;2,466666667;2,93;10,33839424;108
2020-06;9272;2,316666667;2,75;4,107013889;61,5
2020-07;12205;1,923333333;2,21;3,817410131;56
2020-08;12679;1,55;1,76;3,685085077;73,5
2020-09;11295;1,596666667;1,77;5,934674432;101,5
2020-10;11768;1,58;1,86;11,22771582;122,9
2020-11;13523;1,586666667;1,99;8,112941856;75
2020-12;13262;1,603333333;2,18;10,94366077;230,5
2021-01;11631;1,555;1,87;11,18686517;80,5
2021-02;11223;1,416666667;1,74;18,703347;173,5
2021-03;13995;1,353333333;1,47;8,895270966;46,7
2021-04;14590;1,41;1,68;7,323637718;67,1
2021-05;14627;1,606666667;2,03;12,01537033;96,5
2021-06;14313;1,26;1,5;9,348532949;118,8
2021-07;5646;1,44;1,69;2,968394658;44,5
2021-08;6479;1,601666667;1,88;6,152614544;73,4
2021-09;9510;1,513333333;1,92;5,970353643;71,5
2021-10;13139;1,595;2,13;8,881452893;87
2021-11;15161;1,716666667;2,22;9,616846774;117
2021-12;17207;1,928333333;2,45;10,01782634;70,1
2022-01;17499;2,14;2,6;8,60469253;204
2022-02;12857;2,013333333;2,42;11,77253968;97,6
2022-03;19133;2,691666667;3,04;8,487820559;89,4
2022-04;19436;3,611666667;4,12;8,396136737;95,7
2022-05;23114;3,765;4,83;8,071388018;69
2022-06;23160;4,521666667;5,33;9,915149249;92,5
2022-07;25272;4,976666667;5,7;8,180650482;155,2
2022-08;23920;4,726666667;5,52;6,316709742;58,5
2022-09;25167;6,1;6,81;7,708539011;63,4
2022-10;27143;5,893333333;6,67;14,50212967;88,5
2022-11;26473;5,695;6,62;13,1832978;94,5
2022-12;29245;5,67;6,54;10,7254604;123,8
2023-01;28435;5,471666667;6,41;12,31330761;137,6
2023-02;25744;5,653333333;6,47;19,97257624;148
2023-03;29249;5,146666667;6,13;9,55888865;79,5
2023-04;27731;4,483333333;5,35;6,341113164;72,9
2023-05;29886;4,211666667;5,02;5,385250627;112,4
2023-06;29579;3,7;4,59;4,250008354;56,6
2023-07;32372;3,361666667;4,11;4,664566683;73,7
2023-08;30742;3,476666667;4,13;2,756962704;68,1
2023-09;31067;2,513333333;3,3;4,788690476;76
2023-10;33108;2,751666667;3,44;3,096063878;68,5
2023-11;32424;3,015;3,48;9,843388889;125,3
2023-12;34500;2,8;3,17;8,814651341;97,8
2024-01;33590;2,535;3,09;14,90852662;110,5
2024-02;31397;2,825;3,48;13,50907465;140,9
2024-03;32277;3,01;3,42;16,38205268;203,2
2024-04;34241;2,95;3,42;14,2833155;88,6
2024-05;34665;2,515;2,86;6,853648233;146,6
2024-06;34524;2,291666667;2,49;6,174845352;65,6
2024-07;37423;2,135;2,39;3,249901934;108,5
2024-08;35292;2,111666667;2,45;1,854229391;53,9
2024-09;34792;1,8;2,03;4,94143069;84,2
2024-10;37233;1,67;1,94;6,879897373;106
2024-11;34849;1,5;1,9;10,54250883;171,8
2024-12;37537;1,576666667;1,88;18,41790893;70,5
