Bulan;Suhu
1950-01;28,63
1950-02;28,51
1950-03;29,07
1950-04;28,7
1950-05;28,45
1950-06;28,13
1950-07;27,69
1950-08;28,34
1950-09;29,86
1950-10;30,16
1950-11;29,15
1950-12;28,68
1951-01;28,05
1951-02;27,88
1951-03;28,41
1951-04;29,08
1951-05;28,88
1951-06;28,28
1951-07;27,5
1951-08;28,67
1951-09;29,31
1951-10;31,28
1951-11;32,32
1951-12;29,82
1952-01;29,63
1952-02;28,62
1952-03;28,94
1952-04;29,31
1952-05;29,57
1952-06;28,88
1952-07;28,61
1952-08;28,59
1952-09;29,82
1952-10;30,88
1952-11;29,02
1952-12;29,51
1953-01;29,14
1953-02;28,97
1953-03;29,24
1953-04;28,89
1953-05;28,41
1953-06;28,6
1953-07;27,95
1953-08;28,23
1953-09;29,87
1953-10;31,66
1953-11;30,89
1953-12;29,22
1954-01;29,52
1954-02;28,98
1954-03;29,37
1954-04;28,84
1954-05;28,73
1954-06;28,14
1954-07;27,46
1954-08;28,13
1954-09;29,84
1954-10;30,39
1954-11;29,87
1954-12;29,03
1955-01;28,48
1955-02;28,6
1955-03;28,66
1955-04;28,84
1955-05;28,32
1955-06;27,83
1955-07;27,16
1955-08;28,04
1955-09;29,72
1955-10;30,71
1955-11;28,97
1955-12;29,07
1956-01;28,56
1956-02;28,35
1956-03;29,33
1956-04;29,34
1956-05;28,34
1956-06;27,73
1956-07;27,3
1956-08;27,27
1956-09;28,57
1956-10;29,77
1956-11;29,86
1956-12;28,85
1957-01;28,87
1957-02;27,91
1957-03;28,26
1957-04;29,08
1957-05;29,17
1957-06;28,86
1957-07;28,43
1957-08;28,22
1957-09;29,78
1957-10;31,34
1957-11;32,27
1957-12;29,55
1958-01;30,86
1958-02;29,3
1958-03;29,73
1958-04;30,11
1958-05;29,44
1958-06;29,09
1958-07;28,47
1958-08;28,47
1958-09;29,85
1958-10;30,59
1958-11;31,2
1958-12;31
1959-01;29,12
1959-02;29,32
1959-03;29,08
1959-04;29,63
1959-05;28,96
1959-06;28,12
1959-07;27,85
1959-08;28,36
1959-09;29,46
1959-10;31,05
1959-11;31,29
1959-12;29,47
1960-01;28,72
1960-02;28,42
1960-03;28,89
1960-04;28,91
1960-05;28,49
1960-06;27,06
1960-07;27,09
1960-08;28,05
1960-09;29,24
1960-10;31,05
1960-11;30,74
1960-12;29,85
1961-01;28,91
1961-02;28,69
1961-03;29,04
1961-04;29,15
1961-05;28,59
1961-06;28,13
1961-07;27,51
1961-08;28,19
1961-09;30,21
1961-10;31,25
1961-11;31,37
1961-12;30,72
1962-01;28,31
1962-02;28,49
1962-03;29,28
1962-04;28,62
1962-05;28,25
1962-06;28,4
1962-07;27,84
1962-08;27,95
1962-09;29,79
1962-10;30,61
1962-11;31,2
1962-12;29,62
1963-01;28,66
1963-02;28,28
1963-03;28,37
1963-04;28,79
1963-05;28,92
1963-06;28,85
1963-07;28,19
1963-08;28,71
1963-09;29,57
1963-10;31,02
1963-11;31,28
1963-12;31,13
1964-01;29,95
1964-02;29,87
1964-03;29,19
1964-04;29,5
1964-05;29,17
1964-06;28,72
1964-07;28,7
1964-08;29,66
1964-09;30,1
1964-10;29,4
1964-11;29,01
1964-12;29,35
1965-01;28,72
1965-02;29,18
